PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1001,0,3,"Smith, Mr. John",male,34.0,0,0,A/5 21171,7.25,,S
1002,1,1,"Johnson, Mrs. Sarah",female,,1,0,PC 17599,71.2833,C85,C
1003,1,3,"Williams, Miss. Mary",female,26.0,0,0,STON/O2. 3101282,7.925,,
1004,0,1,"Brown, Mr. James",Male,54.0,0,0,113803,51.8625,E46,S
1005,0,3,"Davis, Mr. William",male,22.0,0,0,370376,8.05,,X
1006,0,2,"Miller, Mr. Edward",male,38.0,0,0,244373,0.0,,S
1007,1,2,"Wilson, Mrs. Ellen",female,29.0,1,0,230433,26.0,,S
1008,0,3,"Moore, Mr. Thomas",male,19.0,0,0,345778,8.05,,Q
1009,1,1,"Taylor, Miss. Elizabeth",female,35.0,1,0,113760,135.6333,C123,C
1010,0,3,"Anderson, Mr. Peter",male,45.0,0,0,347082,9.5,,S
